Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
"Dwarf, Gray",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,"Enlarge Person, Invisibility(self only)",,,,120,,"paralysis, phantasms, magical/alchemical poison",,,,,,,,,,,,,,,,2,,,-4,"Listen+1,Move Silently+4,Spot+1","Urgrosh, Dwarven;Waraxe, Dwarven",,,"Dwarven, Undercommon","Common, Draconic, Giant, Goblin, Orc, Terran",,,,2,Fighter,40+3d6/5d6/7d6,"3'9""/3'7""+2d4",110/80+2d4,,,,,,,,,,,PGtF,,FRCS
"Dwarf, Gully",,,Small,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,2,2,-4,,-4,"Hide+2,Move Silently+2,Survival+2",,,,"Gullytalk, Common",,,,,,Rogue,,,,,,,,,,,,,,DLCS,,
"Dwarf, Hill",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,13,11,14,10,9,6,0,0,2,0,0,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon","Elven, Goblin, Ogre",,,,Fighter,40+3d6/5d6/7d6,"3'9""/3'7""+2d4",130/100+2d6,,,,,,,,,,,PHB,,
"Dwarf, Mountain",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,13,11,14,10,9,6,0,0,2,0,0,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon","Giant, Gnome, Hammertalk",,,,Fighter,,,,,,,,,,,,,,MM,93,"DLCS,LGCS"
"Dwarf, Seacliff",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,,-2,Swim+2,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon",,,,,Fighter,,,,,,,,,,,,,,Sto,,
"Dwarf, Shield",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Chondathan, Draconic, Giant, Goblin, Illuskan, Orc",,,,,Fighter,40+3d6/5d6/7d6,"4'2""/4'0""+2d4",145/110+2d6,,,,,,,,,,,PGtF,,FRCS
"Dwarf, Urdunnir",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Dwarven, Undercommon",By region,,,,4,Expert,40+3d6/5d6/7d6,"4'2""/4'0""+2d4",180/150+2d8,,,,,,,,,,,RoF,,
"Dwarf, Wild",,,Small,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,fire 5.,,,,,,,,,,,,,,2,,,-2,,,Blowgun;Handaxe,,"Common, Dwarven","Chultan, Draconic, Goblin, Tashalan, Yuan-Ti",,,,,Barbarian,40+3d6/5d6/7d6,"2'8""/2'6""+2d4",50/40+1d4,,,,,,,,,,,RoF,23,
Elan,,,Medium,Aberration,,,30,,,,,,,,,,,,,,,,,,,,,,,13,11,12,10,9,6,0,0,0,0,0,-2,,,,,Common,Any,,,,,Psion,20+2d4/2d6/3d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,XPH,196,
"Elf, Aquatic",,,Medium,Humanoid,"Aquatic, Elf",,30,,,,,40,,,,,,,superior,,,sleep effects,,,,,,,,,,,,,,,2,,-2,,,"Listen+2,Search+2,Spot+2,Swim+8",,Longspear;Net;Trident,,"Common, Elven","Aquan, Draconic, Giant",,,,,Fighter,110+4d6/6d6/10d6,"4'10""/4'5""+2d10",100/80+2d4,,,,,,,,,,,MM,103,"Sto,RoF"
"Elf, Deepwyrm Drow",,,Medium,Humanoid,"Dragonblood, Elf",,30,,,,,,,,,"Detect Magic (3/day); Disguise Self, Dancing Lights, Darkness",,,,120,,sleep effects,,,11;ClassLvl,,,,,,,,,,,,2,-2,2,,2,"Bluff+2,Listen+2,Search+2,Spot+2",,"Crossbow, Hand;Rapier;Sword, Short",,"Common, Drow, Undercommon","Abyssal, Aquan, Draconic, Drow Sign Language, Gnome, Goblin, Kuo-Toan",,1,,2,Wizard or Cleric,,,,,,,,,,,,,,DrM,,
"Elf, Drow",,,Medium,Humanoid,Elf,,30,,,,,,,,,"Dancing Lights, Darkness, Faerie Fire",,,,120,,sleep effects,,,11;ClassLvl,,,,,,,,,,,,2,-2,2,,2,"Listen+2,Search+2,Spot+2",,"Crossbow, Hand;Rapier;Sword, Short",,"Common, Drow, Undercommon","Abyssal, Aquan, Draconic, Drow Sign Language, Gnome, Goblin, Kuo-Toan",,1,,2,Wizard or Cleric,110+4d6/6d6/10d6,"4'5""/2'5""+2d6",85/80+1d6,,,,,,,,,,,MM,103,PGtF
"Elf, Forestlord",,,Medium,Humanoid,"Dragonblood, Elf",,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,-2,,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Sorcerer,,,,,,,,,,,,,,DrM,,
"Elf, Gray",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,-2,2,-2,2,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Wizard,,,,,,,,,,,,,,MM,104,
"Elf, High",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,-2,,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Wizard,110+4d6/6d6/10d6,"4'5""/4'5""+2d6",85/80+1d6,,,,,,,,,,,PHB,,
"Elf, Kagonesti",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,,-2,,-2,"Knowledge (nature)+1,Listen+2,Search+2,Spot+2,Survival+1",,"Longbow;Longbow, Composite;Longspear;Shortbow;Shortbow, Composite;Sword, Short",,"Elven, Sylvan","Common, Ergot, Gnoll, Goblin, Ogre, Solamnic",,,,,Ranger,,,,,,,,,,,,,,DLCS,,
"Elf, Moon",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,-2,,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Auran, Chondathan, Gnoll, Gnome, Halfling, Illuskan, Sylvan",,,,,Wizard,110+4d6/6d6/10d6,"4'10""/4'5""+2d10",90/70+2d4,,,,,,,,,,,PGtF,,FRCS
"Elf, Painted",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,2,,-2,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Druid,,,,,,,,,,,,,,Sand,,
"Elf, Qualinesti",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,-2,,,,"Diplomacy+1,Listen+2,Search+2,Sense Motive+1,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Abanasinian, Dwarven, Ergot, Goblin, Ogre, Sylvan",,,,,Wizard,,,,,,,,,,,,,,DLCS,,
"Elf, Sea (Dargonesti)",,,Medium,Humanoid,Elf,,30,,,,,30,,,,"Blur, Dancing Lights, Darkness, Obscuring Mist",,,normal,60,,sleep effects,,,,,,,,,,,,,,2,2,,,,-2,"Listen+2,Spot+2",,Longspear;Net;Trident,,"Aquan, Dargonesti","Common, Elven, Ergot",,,,1,Fighter,,,,,,,,,,,,,,DLCS,,
"Elf, Sea (Dimernesti)",,,Medium,Humanoid,Elf,,30,,,,,30,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,,2,-2,-2,"Listen+2,Spot+2",,Longspear;Net;Trident,,"Elven, Dimernesti","Aquan, Common, Ergot,Kothian",,,,1,Barbarian,,,,,,,,,,,,,,DLCS,,
"Elf, Silvanesti",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,-2,2,,-2,"Knowledge (arcana)+1,Listen+2,Search+2,Spellcraft+1,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,Elven,"Common, Dwarven, Ergot, Kenderspeak, Kharolian, Khur, Goblin, Ogre, Sylvan",,,,,Wizard,,,,,,,,,,,,,,DLCS,,
"Elf, Snow",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,,,,-2,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Wizard,110+4d6/6d6/10d6,"4'5""/4'5""+2d6",85/80+1d6,,,,,,,,,,,Frost,,
"Elf, Sun",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,,-2,2,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Auran, Celestial, Chondathan, Gnome, Halfling, Illuskan, Sylvan",,,,,Wizard,110+4d6/6d6/10d6,"4'10""/4'5""+2d10",90/70+2d4,,,,,,,,,,,PGtF,,FRCS
"Elf, Umbragen",,,Medium,Humanoid,Elf,,30,,,,,,,,,"Dancing Lights, Darkness, Faerie Fire",,,,120,,sleep effects,,,11;ClassLvl,,,,,,,,,,,,2,-2,2,,2,"Hide+2,Listen+2,Move Silently+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Elven, Undercommon","Common, Draconic, Giant, Terran",,1,,2,Sorcerer,,,,,,,,,,,,,,SoX,,
"Elf, Wild",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,2,,-2,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Sorcerer,110+4d6/6d6/10d6,"4'10""/4'5""+2d10",100/80+2d4,,,,,,,,,,,MM,104,"FRCS,PGtF"
"Elf, Winged",,,Medium,Humanoid,Elf,,30,,,50,average,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,4,-2,2,2,,"Jump+4,Listen+2,Search+2,Spot+4",,Bolas;Lasso;Longsword;Rapier,,"Common, Elven",By region,,,,3,Cleric,40+4d6/6d6/9d6,"5'0""/4'8""+2d8",70/65+1d6,,,,,,,,,,,RoF,,
"Elf, Wood",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,2,2,-2,-2,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Longsword;Rapier;Shortbow;Shortbow, Composite",,"Common, Elven","Draconic, Gnoll, Gnome, Goblin, Orc, Sylvan",,,,,Ranger,110+4d6/6d6/10d6,"4'10""/4'5""+2d10",100/80+2d4,,,,,,,,,,,MM,104,"FRCS,PGtF"
Erinyes,,,Medium,Outsider,"Evil, Extraplanar, Lawful",9,30,,,50,good,,8,,,"Greater Teleport (at will), Charm Monster (at will, DC 14+ChaMod), Minor Image (at will, DC 12+ChaMod), Unholy Blight (at will, DC 14+ChaMod).",,,,60,,"fire, poison",,"acid 10, cold 10",20,5/good,,,,21,21,21,14,18,20,,,,,,,"Concentration,Diplomacy,Escape Artist,Hide,Knowledge (any),Listen,Move Silently,Search,Sense Motive,Spot,Survival,Use Rope",,,"Dodge,Mobility","Infernal, Celestial, Draconic",,,8,,7,,,,,,,,,,,,,,,MM,,
"Ethergaunt, Black",,,Medium,Aberration,Extraplanar,16,30,,,,,,15,,,,,,,60,,,,,,,,,,,,,,,,2,8,4,20,4,4,"Concentration,Diplomacy,Heal,Knowledge (any),Listen,Move Silently,Sense Motive,Spellcraft,Spot",,Etherblade,,Khen-zai,"Common, Draconic, Dwarven, Elven",,17,,4,Wizard,,,,,,,,,,,,,,FF,65,
"Ethergaunt, Red",,,Medium,Aberration,Extraplanar,5,30,,,,,,4,,,,,,,60,,,,,,,,,,,,,,,,4,4,2,12,4,2,"Concentration,Heal,Knowledge (arcana),Listen,Move Silently,Spellcraft,Spot,Survival",,Etherblade,,Khen-zai,"Common, Draconic, Dwarven, Elven",,9,,7,Wizard,,,,,,,,,,,,,,FF,66,
"Ethergaunt, White",,,Medium,Aberration,Extraplanar,11,30,,,,,,10,,,,,,,60,,,,,,,,,,,,,,,,2,6,4,16,4,2,"Concentration,Diplomacy,Heal,Knowledge (arcana),Knowledge (the planes),Listen,Move Silently,Sense Motive,Spellcraft,Spot,Survival",,Etherblade,,Khen-zai,"Common, Draconic, Dwarven, Elven",,13,,5,Wizard,,,,,,,,,,,,,,FF,67,
Ettin,,,Large,Giant,,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,-2,4,-4,-2,,"Listen+2,Search+2,Spot+2",,,,Giant,"Common, Orc, Goblin",,6,,5,Barbarian,,,,,,,,,,,,,,MM,106,
Extaminaar,,,Medium,Humanoid,,,30,,,,,,,,,"Speak With Animals (at will, snakes only); Charm Animals (3/day, snakes only).",,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Escape Artist+2,Swim+4",,,,"Common, Yuan-Ti","Abyssal, Draconic",,,,,Rogue,,,,,,,,,,,,,,CR,,
Falxugon (Harvester Devil),,,Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",9,30,,,,,,7,,,"Disguise Self, Greater Teleport (at will), Mirror Image (1/day), Dispel Magic (DC 13+ChaMod), Vampiric Touch (3/day).",,,,,,"fire, poison",,"acid 10, cold 10",17,5/good or magic,,,,,,,,,,4,10,6,4,4,12,"Balance,Bluff,Concentration,Decipher Script,Diplomacy,Disguise,Escape Artist,Forgery,Hide,Intimidate,Jump,Listen,Senst Motive,Sleight of Hand,Spot,Tumble,Use Rope",,,,"Common, Celestial, Infernal",,,7,,4,Rogue,,,,,,,,,,,,,,FCII,117,
Fensir,,,Large,Giant,Extraplanar,4,40,,,,,,6,,,"Transmute Mud To Rock, Transmute Rock To Mud (at will)",,,normal,60,,,,,,,,,,,,,,,,10,2,4,2,2,-4,"Climb,Hide,Listen,Spot,Survival",,,Brew Potion,"Giant, Common",,,5,,5,Wizard,,,,,,,,,,,,,,FF,68,
Feral Gargun,,,Medium,Monstrous Humanoid,,2,30,,,,,,2,2 Claws+5+0+1,,,,,,60,,,,cold 5,,,,,,,,,,,,4,2,4,-2,,-2,"Climb,Hide,Jump,Listen,Search,Spot,Survival",,,,Gol-Kaa,none,,2,,2,Barbarian,14+1d4/1d6/2d6,"6'0""/6'0""+2d12",220/220+2d6,,,,,,,,,,,RoS,,
Fey'ri,,,Medium,Outsider,Native,,30,,,40,poor,,,,,Alter Self (at will),,,normal,,,sleep effects,,,,ref:FeyriDRValue,,,,,,,,,,,2,-2,2,,,"Bluff+2,Hide+2,Listen+2,Search+2,Spot+2",,,,"Common, Elven, Abyssal","Gnoll, Goblin, Sylvan, Draconic",,,,ref:FeyriLA,Sorcerer,,,,,,,,,,,,,,RoF,,Mon
Feytouched,,,Medium,Fey,,,30,,,,,,,,,Charm Person (DC 9),,,,,,mind-affecting effects & spells,,,,,,,,,,,,,,,2,-2,,,2,"Bluff,Handle Animal,Hide+2,Move Silently+2,Sense Motive,Spot,Survival",,,,Common,,,,,1,Bard,,,,,,,,,,,,,,FF,71,
Firbolg,,,Large,Giant,,13,40,,,,,,12,Trample+7+0+2,,"Disguise Self, Detect Magic, Feeblemind, Know Direction",,,,,,,,,,,,,,,,,,,,26,2,12,4,4,4,"Knowledge (nature),Move Silently,Spot,Survival",,,,Giant,Common,,12,,5,Druid,,,,,,,,,,,,,,MM2,101,
Fomorian,,,Huge,Giant,,15,40,,,,,,9,Slam+4+0+1,,,,,,,,,,,,5/-,,,,,,,,,,24,2,12,,2,-2,"Listen,Move Silently+10,Spot",,,,Giant,Common,,11,,4,Barbarian,,,,,,,,,,,,,,MM2,105,
Frost Folk,,,Medium,Monstrous Humanoid,Cold,4,30,,,,,,2,,,,,,,60,,,,,,,,,,,,,,,,4,2,2,,,-2,,,"Battleaxe;Longbow;Longbow, Composite",,Common,"Auran, Draconic, Dwarven, Giant, Goblin, Orc",,,,1,Barbarian,,,,,,,,,,,,,,Frost,130,
Gargoyle,,,Medium,Monstrous Humanoid,Earth,4,40,,,60,average,,4,"2 Claws+4+0+1,Bite+5+0+0,Gore+5+0+0",,,,,,60,,,,,,10/magic,,,,15,14,18,6,11,7,4,4,8,-4,0,-4,"Hide+2,Listen+2,Spot+2",,,,Common,"Auran, Dwarven, Elven, Gnome, Halfling, Giant, Terran",,4,,5,Fighter,,,,,,,,,,,,,,MM,113,
"Genasi, Air",,,Medium,Outsider,Native,,30,,,,,,,,,Levitate,,,,,,,,,,,,,,,,,,,,,2,,2,-2,-2,,,,,Common,Any,,,,1,Fighter,15+1d6/1d8/2d8,"4'10""/4'5""+2d10",120/85+1d6,,,,,,,,,,,PGtF,,FRCS
"Genasi, Earth",,,Medium,Outsider,Native,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,-2,-2,,,,,Common,Any,,,,1,Fighter,15+1d6/1d8/2d8,"4'10""/4'5""+2d10",120/85+2d6,,,,,,,,,,,PGtF,,FRCS
"Genasi, Fire",,,Medium,Outsider,Native,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,-2,,,,,Common,Any,,,,1,Fighter,15+1d6/1d8/2d8,"4'10""/4'5""+2d12",120/85+2d4,,,,,,,,,,,PGtF,,FRCS
"Genasi, Water",,,Medium,Outsider,Native,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-2,,,,,Common,Any,,,,1,Fighter,15+1d6/1d8/2d8,"4'10""/4'5""+2d8",120/85+2d4,,,,,,,,,,,PGtF,,FRCS
"Giant, Fire",,,Large,Giant,Fire,15,40,,,,,,8,Slam+3+0+1,,,,,normal,,,fire,cold,,,,,,,31,9,21,10,14,11,,,,,,,"Climb,Craft (any),Intimidate,Jump,Spot",,,,Giant,"Common, Draconic, Elven, Goblin, Orc",,10,,4,Barbarian,,,,,,,,,,,,,,MM,121,
"Giant, Forest",,,Huge,Giant,,13,40,,,,,,11,,,,,,normal,,,,,,,,,,,,,,,,,22,2,12,4,6,10,"Diplomacy,Hide+4,Listen,Sense Motive,Spot",,,,Giant,Common,,11,,4,Ranger,,,,,,,,,,,,,,MM2,110,
"Giant, Frost",,,Large,Giant,Cold,14,40,,,,,,9,Slam+3+0+1,,,,,normal,,,cold,fire,,,,,,,29,9,21,10,14,11,,,,,,,"Climb,Craft (any),Intimidate,Jump,Spot",,,,Giant,"Common, Draconic, Elven, Goblin, Orc",,9,,4,Barbarian,,,,,,,,,,,,,,MM,122,Frost
"Giant, Hill",,,Large,Giant,,12,40,,,,,,9,Slam+3+0+1,,,,,normal,,,,,,,,,,,25,8,19,6,10,7,14,-2,8,-4,0,-4,"Climb,Jump,Listen,Spot",,,,Giant,"Common, Draconic, Elven, Goblin, Orc",,7,,4,Barbarian,,,,,,,,,,,,,,MM,,
"Giant, Jungle",,,Large,Giant,,11,40,,,,,,5,,,"Entangle, Snare; Pass Without Trace, Woodshape (3/day)",,,normal,,,,,,,,,,,,,,,,,10,18,3,2,2,-4,"Craft (any),Hide,Listen,Move Silently,Spellcraft,Spot",,,,Giant,"Common, Drow, Sylvan",,8,,5,Ranger,,,,,,,,,,,,,,SoX,,
"Giant, Sand",,,Large,Giant,"Earth, Fire",15,40,10,,,,,11,,,"Meld Into Stone, Statue",,,normal,,,fire,cold,,,,,,,,,,,,,16,10,10,,6,2,"Hide,Knowledge (nature),Listen,Spot,Survival",,Sandblaster,,"Common, Giant","Draconic, Elven, Goblin, Orc",,10,,4,Fighter,,,,,,,,,,,,,,MM3,58,
"Giant, Stone",,,Large,Giant,Earth,14,40,,,,,,11,Slam+3+0+1,,,,,normal,60,,,,,,,,,,27,15,19,10,12,11,16,4,8,0,2,0,"Climb,Hide,Jump,Spot",,,,Giant,"Common, Draconic, Elven, Goblin, Orc",,8,,4,Barbarian,,,,,,,,,,,,,,MM,124,
"Giant, Sun",,,Huge,Giant,Fire,13,40,,,,,,10,,,"Spike Stones, Stone Shape, Wall Of Stone (at will, CL 13, Save DC 12+Spell Lvl)",,,normal,,,fire,cold,,,,,,,,,,,,,26,4,14,4,8,4,"Handle Animal,Hide+4,Listen,Ride,Spot",,,,Giant,Common,,12,,4,Ranger,,,,,,,,,,,,,,MM2,110,
Githyanki,,,Medium,Humanoid,Extraplanar,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,2,2,,-2,,,,,,"Common, Gith","Abyssal, Celestial, Draconic, Infernal, Undercommon",,,,2,Fighter,15+1d4/1d6/2d6,"5'3""/5'2""+2d10",120/85+2d4,,,,,,,,,,,MM,127,"MotP,XPH"
Githzerai,,,Medium,Humanoid,Extraplanar,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,6,,-2,2,,,,,,"Common, Gith","Abyssal, Celestial, Draconic, Slaad, Undercommon",,,,2,Monk,15+1d4/1d6/2d6,"5'2""/5'1""+2d10",110/80+2d4,,,,,,,,,,,MM,129,"MotP,XPH"
Gloaming,,,Small,Outsider,Native,,20,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,-2,2,,-2,-2,2,Move Silently+4,,,Portal Sensitive,Undercommon,By Character Region,,,,2,Sorcerer,,,,,,,,,,,,,,Und,,
Gnoll,,,Medium,Humanoid,Gnoll,2,30,,,,,,1,,,,,,,60,,,,,,,,,,15,10,13,8,11,8,,,,,,,"Listen,Spot",,,,Gnoll,"Common, Draconic, Elven, Goblin, Orc",,,,1,Ranger,14+1d4/1d6/2d6,"5'4""/5'2""+2d12",200/180+2d6,,,,,,,,,,,MM,130,RotW
"Gnoll, Flind",,,Medium,Humanoid,Gnoll,2,30,,,,,,2,,,,,,,60,,,,,,,,,,,,,,,,6,2,4,,,,"Listen,Spot",,Flindbar,,"Common, Gnoll","Draconic, Elven, Goblin, Orc",,2,,2,Ranger,,,,,,,,,,,,,,MM3,62,
"Gnome, Chaos",,,Small,Humanoid,Gnome,,20,,,,,,,,,Entropic Shield,,,normal,,,confusion,,,,,,,,,,,,,,-2,2,2,,,2,Listen+2,"Hammer, Gnome Hooked",,,"Common, Gnome",any,,,,1,Sorcerer,30+2d6/4d6/6d6,"2'8""/2'6""+2d4",30/25+1d1,,,,,,,,,,,RoS,86,
"Gnome, Deep",,,Small,Humanoid,Gnome,,20,,,,,,,,,"Blindness/Deafness, Blur, Disguise Self",,,,60,,,,,11;ClassLvl,,,,,,,,,,,-2,2,,,2,2,"Craft (alchemy)+2,Hide+2,Listen+2","Hammer, Gnome Hooked",,,"Gnome, Undercommon","Common, Draconic, Dwarven, Elven, Illuskan, Terran",,1,,3,Wizard,20+4d6/6d6/9d6,"2'10""/2'8""+2d4",40/35+1d1,,,,,,,,,,,PGtF,,FRCS
"Gnome, Forest",,,Small,Humanoid,Gnome,,20,,,,,,,,,Speak With Animals (burrowing),,,normal,,,,,,,,,,,,,,,,,-2,,2,,,,"Craft (alchemy)+2,Hide+4,Listen+2","Hammer, Gnome Hooked",,,"Gnome, Elven, Sylvan","Common, Draconic, Dwarven, Giant, Goblin, Orc",,,,,Illusionist,40+4d6/6d6/9d6,"2'0""/2'0""+1d10",25/20+1d1,,,,,,,,,,,MM,132,RoF
"Gnome, Ice",,,Small,Humanoid,Gnome,,20,,,,,,,,,Speak With Animals (arctic),,,normal,,,,,,,,,,,,,,,,,-2,,2,,,,"Craft (alchemy)+2,Listen+2","Hammer, Gnome Hooked",,,"Common, Gnome","Draconic, Dwarven, Elven, Giant, Goblin, Orc",,,,,Bard,40+4d6/6d6/9d6,"3'0""/2'10""+2d4",40/35+1d1,,,,,,,,,,,Frost,,
"Gnome, Rock",,,Small,Humanoid,Gnome,,20,,,,,,,,,"Speak With Animals (burrowing). If Charisma 10 or more: Dancing Lights, Ghost Sound (DC 10+ChaMod), Prestidigitation.",,,normal,,,,,,,,,,,11,11,14,10,9,8,-2,0,2,0,0,0,"Craft (alchemy)+2,Listen+2","Hammer, Gnome Hooked",,,"Common, Gnome","Draconic, Dwarven, Elven, Giant, Goblin, Orc",,,,,Bard,40+4d6/6d6/9d6,"3'0""/2'10""+2d4",40/35+1d1,,,,,,,,,,,PHB,,
"Gnome, Stonehunter",,,Small,Humanoid,"Dragonblood, Gnome",,20,,,,,,,,,Speak With Animals (burrowing),,,normal,,,,,,,,,,,,,,,,,-2,,2,,,,"Climb+2,Craft (alchemy)+2,Listen+2,Survival+2","Hammer, Gnome Hooked",,,"Common, Gnome","Draconic, Dwarven, Elven, Giant, Goblin, Orc",,,,,Ranger,,,,,,,,,,,,,,DrM,,
"Gnome, Svirfneblin",,,Small,Humanoid,Gnome,,20,,,,,,,,,"Blindness/Deafness, Blur, Disguise Self",,,normal,120,,,,,11;ClassLvl,,,,,11,13,12,10,11,4,-2,2,0,0,2,-4,"Craft (alchemy)+2,Hide+2,Listen+2","Hammer, Gnome Hooked",,,"Undercommon, Gnome, Common","Dwarven, Elven, Giant, Goblin, Orc, Terran",,1,,3,Rogue,,,,,,,,,,,,,,MM,132,
"Gnome, Thinker",,,Small,Humanoid,Gnome,,20,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,-2,2,,,,,"Craft (alchemy)+2,Disable Device+2,Open Lock+2","Hammer, Gnome Hooked",,,"Common, Gnome","Dwarven, Ergot, Ogre, Solamnic",,,,,First class chosen,,,,,,,,,,,,,,DLCS,,
"Gnome, Tinker",,,Small,Humanoid,Gnome,,20,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,-2,2,,2,-2,,ref:TinkerGnomeSkills,"Hammer, Gnome Hooked",,,"Common, Gnome","Dwarven, Ergot, Ogre, Solamnic",,,,,First class chosen,,,,,,,,,,,,,,DLCS,,
